,totalbuts,%total,totalbuts / mj,butstirs,%tirs,tirsbuts / mj,butspenalty,%penalty,penaltybuts / mj,mj,Score LNH *,Temps jeu
ONUFRIYENKO Sergiy,97 / 155,"62,58 %","3,23",97 / 155,"62,58 %","3,23",0 / 0,"0,00 %","0,00",30,202.3,07:16:13
BRIET Thibaud,96 / 147,"65,31 %","3,69",96 / 147,"65,31 %","3,69",0 / 0,"0,00 %","0,00",26,295.5,16:46:40
RIGAULT Kylian,96 / 161,"59,63 %","4,00",92 / 152,"60,53 %","3,83",4 / 9,"44,44 %","0,17",24,266.4,14:50:19
DEKIC Dorde,96 / 174,"55,17 %","3,20",88 / 164,"53,66 %","2,93",8 / 10,"80,00 %","0,27",30,284.2,14:18:58
TUZOLANA Junior,94 / 134,"70,15 %","3,24",93 / 133,"69,92 %","3,21",1 / 1,"100,00 %","0,03",29,190.6,18:12:08
TISSOT Antoine,94 / 136,"69,12 %","3,24",73 / 105,"69,52 %","2,52",21 / 31,"67,74 %","0,72",29,187.0,13:26:52
ABDELHAK Mohab,94 / 150,"62,67 %","3,62",93 / 149,"62,42 %","3,58",1 / 1,"100,00 %","0,04",26,192.5,11:12:27
BERKOUS Messaoud,93 / 168,"55,36 %","3,72",93 / 168,"55,36 %","3,72",0 / 0,"0,00 %","0,00",25,180.3,07:26:41
BOIS Steeven,91 / 146,"62,33 %","3,96",91 / 146,"62,33 %","3,96",0 / 0,"0,00 %","0,00",23,236.4,13:55:40
SALOU Mathieu,91 / 156,"58,33 %","3,25",91 / 156,"58,33 %","3,25",0 / 0,"0,00 %","0,00",28,177.7,09:53:39
AMAN Valentin,88 / 129,"68,22 %","3,03",88 / 129,"68,22 %","3,03",0 / 0,"0,00 %","0,00",29,173.2,19:20:23
RODRIGUES Gustavo,88 / 131,"67,18 %","4,63",88 / 131,"67,18 %","4,63",0 / 0,"0,00 %","0,00",19,213.4,12:45:06
PORTE Valentin,87 / 122,"71,31 %","2,90",87 / 122,"71,31 %","2,90",0 / 0,"0,00 %","0,00",30,263.3,18:44:33
VERGELY Adrien,85 / 121,"70,25 %","2,83",85 / 121,"70,25 %","2,83",0 / 0,"0,00 %","0,00",30,164.7,14:10:30
TONNESEN Kent Robin,85 / 124,"68,55 %","2,83",85 / 124,"68,55 %","2,83",0 / 0,"0,00 %","0,00",30,239.3,19:39:28
MINEL Quentin,85 / 138,"61,59 %","4,05",85 / 138,"61,59 %","4,05",0 / 0,"0,00 %","0,00",21,180.3,10:17:09
KALL Casper,84 / 130,"64,62 %","2,80",84 / 130,"64,62 %","2,80",0 / 0,"0,00 %","0,00",30,246.3,13:56:44
AVELANGE DEMOUGE Théo,83 / 109,"76,15 %","2,77",83 / 108,"76,85 %","2,77",0 / 1,"0,00 %","0,00",30,161.1,14:16:59
ACQUEVILLO Jean-jacques,83 / 136,"61,03 %","3,32",83 / 136,"61,03 %","3,32",0 / 0,"0,00 %","0,00",25,214.6,16:46:39
MARIE-JOSEPH Steve,82 / 127,"64,57 %","3,04",57 / 91,"62,64 %","2,11",25 / 36,"69,44 %","0,93",27,155.8,17:47:12
KUSAN Tomislav,81 / 103,"78,64 %","2,79",81 / 103,"78,64 %","2,79",0 / 0,"0,00 %","0,00",29,145.8,16:58:36
SOLE Ferran,81 / 108,"75,00 %","3,24",63 / 88,"71,59 %","2,52",18 / 20,"90,00 %","0,72",25,160.3,14:10:08
KHERMOUCHE Bastien,80 / 118,"67,80 %","2,67",80 / 118,"67,80 %","2,67",0 / 0,"0,00 %","0,00",30,149.8,17:23:16
BILLANT Florian,79 / 104,"75,96 %","3,16",69 / 92,"75,00 %","2,76",10 / 12,"83,33 %","0,40",25,158.2,16:01:45
TRAORE Queido,79 / 116,"68,10 %","2,72",79 / 116,"68,10 %","2,72",0 / 0,"0,00 %","0,00",29,136.6,19:07:41
APPOLINAIRE Ludwig,78 / 121,"64,46 %","2,60",78 / 121,"64,46 %","2,60",0 / 0,"0,00 %","0,00",30,173.9,17:35:42
KEMPF Edouard,77 / 109,"70,64 %","2,57",75 / 106,"70,75 %","2,50",2 / 3,"66,67 %","0,07",30,156.4,21:28:10
BALAGUER David,76 / 104,"73,08 %","2,81",70 / 96,"72,92 %","2,59",6 / 8,"75,00 %","0,22",27,159.5,13:09:17
HRSTIC Matej,76 / 117,"64,96 %","2,62",76 / 117,"64,96 %","2,62",0 / 0,"0,00 %","0,00",29,196.6,14:30:01
DAMIANI Clément,76 / 129,"58,91 %","2,71",76 / 129,"58,91 %","2,71",0 / 0,"0,00 %","0,00",28,209.8,15:08:26
LAGARDE Romain,76 / 153,"49,67 %","2,92",76 / 153,"49,67 %","2,92",0 / 0,"0,00 %","0,00",26,186.2,17:41:03
FERNANDEZ PEREZ Angel,74 / 92,"80,43 %","2,64",74 / 92,"80,43 %","2,64",0 / 0,"0,00 %","0,00",28,155.7,17:27:01
KOLLE Romuald,74 / 121,"61,16 %","2,55",74 / 121,"61,16 %","2,55",0 / 0,"0,00 %","0,00",29,189.8,10:59:40
PASQUET Loïs,72 / 93,"77,42 %","2,67",68 / 88,"77,27 %","2,52",4 / 5,"80,00 %","0,15",27,152.6,11:17:44
SIMONET Diego,71 / 105,"67,62 %","3,55",71 / 105,"67,62 %","3,55",0 / 0,"0,00 %","0,00",20,187.7,08:26:00
KERVADEC Ewan,71 / 109,"65,14 %","2,45",71 / 108,"65,74 %","2,45",0 / 1,"0,00 %","0,00",29,212.7,16:02:46
MARTINEZ Léo,70 / 126,"55,56 %","2,69",70 / 126,"55,56 %","2,69",0 / 0,"0,00 %","0,00",26,184.8,14:21:33
TOBIE Luc,68 / 104,"65,38 %","2,43",68 / 104,"65,38 %","2,43",0 / 0,"0,00 %","0,00",28,206.1,17:57:24
